"filename", "language", "JavaScript", "HTML", "JSON", "Properties", "CSS", "comment", "blank", "total"
"d:\TaskerZoo\.env", "Properties", 0, 0, 0, 4, 0, 0, 0, 4
"d:\TaskerZoo\app.js", "JavaScript", 500, 0, 0, 0, 0, 59, 102, 661
"d:\TaskerZoo\models\Aforo.js", "JavaScript", 8, 0, 0, 0, 0, 0, 4, 12
"d:\TaskerZoo\models\Animales.js", "JavaScript", 12, 0, 0, 0, 0, 0, 4, 16
"d:\TaskerZoo\models\Empleados.js", "JavaScript", 19, 0, 0, 0, 0, 2, 6, 27
"d:\TaskerZoo\models\Eventos.js", "JavaScript", 11, 0, 0, 0, 0, 0, 4, 15
"d:\TaskerZoo\models\Incidencias.js", "JavaScript", 11, 0, 0, 0, 0, 0, 4, 15
"d:\TaskerZoo\models\RegistrosComportamiento.js", "JavaScript", 10, 0, 0, 0, 0, 0, 4, 14
"d:\TaskerZoo\models\RegistrosSalud.js", "JavaScript", 11, 0, 0, 0, 0, 0, 4, 15
"d:\TaskerZoo\models\Suministros.js", "JavaScript", 18, 0, 0, 0, 0, 0, 4, 22
"d:\TaskerZoo\models\Zonas.js", "JavaScript", 8, 0, 0, 0, 0, 0, 4, 12
"d:\TaskerZoo\package-lock.json", "JSON", 0, 0, 3508, 0, 0, 0, 1, 3509
"d:\TaskerZoo\package.json", "JSON", 0, 0, 25, 0, 0, 0, 1, 26
"d:\TaskerZoo\postcss.config.js", "JavaScript", 6, 0, 0, 0, 0, 0, 1, 7
"d:\TaskerZoo\public\css\estiloTaskerZoo.css", "CSS", 0, 0, 0, 0, 17, 9, 4, 30
"d:\TaskerZoo\public\css\estiloTaskerZooOutput.css", "CSS", 0, 0, 0, 0, 1545, 176, 415, 2136
"d:\TaskerZoo\public\data\familiasCientificas.json", "JSON", 0, 0, 104, 0, 0, 0, 0, 104
"d:\TaskerZoo\public\data\suministros.json", "JSON", 0, 0, 63, 0, 0, 0, 0, 63
"d:\TaskerZoo\public\data\zonas.json", "JSON", 0, 0, 54, 0, 0, 0, 0, 54
"d:\TaskerZoo\public\data\zoo.json", "JSON", 0, 0, 5, 0, 0, 0, 0, 5
"d:\TaskerZoo\public\js\codigoAnimales.js", "JavaScript", 114, 0, 0, 0, 0, 10, 18, 142
"d:\TaskerZoo\public\js\codigoEventos.js", "JavaScript", 105, 0, 0, 0, 0, 7, 12, 124
"d:\TaskerZoo\public\js\codigoIndex.js", "JavaScript", 111, 0, 0, 0, 0, 19, 26, 156
"d:\TaskerZoo\public\js\codigoSalud.js", "JavaScript", 135, 0, 0, 0, 0, 7, 19, 161
"d:\TaskerZoo\public\js\codigoSuministros.js", "JavaScript", 53, 0, 0, 0, 0, 7, 12, 72
"d:\TaskerZoo\public\js\codigoZonas.js", "JavaScript", 66, 0, 0, 0, 0, 3, 15, 84
"d:\TaskerZoo\tailwind.config.js", "JavaScript", 21, 0, 0, 0, 0, 1, 2, 24
"d:\TaskerZoo\vistas\404.ejs", "HTML", 0, 0, 0, 0, 0, 0, 1, 1
"d:\TaskerZoo\vistas\ajustes.ejs", "HTML", 0, 160, 0, 0, 0, 5, 17, 182
"d:\TaskerZoo\vistas\animales.ejs", "HTML", 0, 223, 0, 0, 0, 12, 17, 252
"d:\TaskerZoo\vistas\dashboard.ejs", "HTML", 0, 218, 0, 0, 0, 9, 25, 252
"d:\TaskerZoo\vistas\eventos.ejs", "HTML", 0, 130, 0, 0, 0, 10, 17, 157
"d:\TaskerZoo\vistas\incidencias.ejs", "HTML", 0, 0, 0, 0, 0, 0, 1, 1
"d:\TaskerZoo\vistas\index.ejs", "HTML", 0, 126, 0, 0, 0, 15, 19, 160
"d:\TaskerZoo\vistas\partials\header.ejs", "HTML", 0, 4, 0, 0, 0, 0, 0, 4
"d:\TaskerZoo\vistas\partials\nav.ejs", "HTML", 0, 156, 0, 0, 0, 4, 7, 167
"d:\TaskerZoo\vistas\personal.ejs", "HTML", 0, 191, 0, 0, 0, 8, 11, 210
"d:\TaskerZoo\vistas\saludAnimales.ejs", "HTML", 0, 302, 0, 0, 0, 10, 19, 331
"d:\TaskerZoo\vistas\suministros.ejs", "HTML", 0, 126, 0, 0, 0, 6, 13, 145
"d:\TaskerZoo\vistas\zonas.ejs", "HTML", 0, 104, 0, 0, 0, 5, 12, 121
"Total", "-", 1219, 1740, 3759, 4, 1562, 384, 825, 9493